,POLTITICAL_UNIT,NAME,WGMS_ID,RIVER_BASIN,FREE_POSITION,LOCAL_CODE,LOCAL_PSFG,GEN_LOCATION,SPEC_LOCATION,LATITUDE,LONGITUDE,PRIM_CLASSIFIC,FORM,FRONTAL_CHARS,EXPOS_ACC_AREA,EXPOS_ABL_AREA,PARENT_GLACIER,REMARKS,REGION,SUBREGION,GLIMS_ID,RGI_ID
396,CH,MITTLER TIERBERG,4981,,,,,,,46.686298,8.38897,,,,,,,,Central Europe,Alps,G008391E46687N,RGI50-11.01202
397,CH,HINTER TIERBERG,4982,,,,,,,46.681801,8.38366,,,,,,,,Central Europe,Alps,G008385E46682N,RGI50-11.01209
398,CH,MAASPLANGGSTOCK-W (ONLY '73),4983,,,,,,,46.671799,8.39264,,,,,,,,Central Europe,Alps,G008392E46672N,RGI50-11.01219
399,CH,WYSSE NOLLEN-E,4984,,,,,,,46.654598,8.40801,,,,,,,,Central Europe,Alps,G008408E46655N,RGI50-11.01233
400,CH,TRIFTTAELLI,4985,,,,,,,46.690399,8.31845,,,,,,,,Central Europe,Alps,G008317E46691N,RGI50-11.01196
401,CH,TOBIGER,4986,,,,,,,46.695801,8.31723,,,,,,,,Central Europe,Alps,G008316E46696N,RGI50-11.01178
402,CH,CHLI TITLIS-S (ONLY '73),4987,,,,,,,46.7705,8.42843,,,,,,,,Central Europe,Alps,G008429E46770N,
403,CH,SCHATTMIGSTOCK,4988,,,,,,,46.753399,8.43073,,,,,,,,Central Europe,Alps,G008430E46754N,RGI50-11.01103
404,CH,UESSERI GADENLAUIEGG,4989,,,,,,,46.713402,8.36721,,,,,,,,Central Europe,Alps,G008366E46713N,
405,CH,DROSISTOCK-W,4990,,,,,,,46.711601,8.37241,,,,,,,,Central Europe,Alps,G008373E46712N,
406,CH,DROSI-S (PART OF A54E/18),4991,,,,,,,46.702499,8.38533,,,,,,,,Central Europe,Alps,G008384E46703N,
407,CH,DROSILI (PART OF A54E/18),4992,,,,,,,46.709702,8.38023,,,,,,,,Central Europe,Alps,G008380E46709N,RGI50-11.01158
408,CH,SCHAFEGG-E (PART OF A54E/25),4993,,,,,,,46.6749,8.34956,,,,,,,,Central Europe,Alps,G008349E46674N,
409,CH,SCHAFEGG (PART OF A54E/25),4994,,,,,,,46.674999,8.33649,,,,,,,,Central Europe,Alps,G008337E46675N,
410,CH,SCHOENHUBEL-S,4995,,,,,,,46.6921,8.33155,,,,,,,,Central Europe,Alps,G008331E46692N,RGI50-11.01191
411,CH,SCHOENHUBEL-W,4996,,,,,,,46.6949,8.32506,,,,,,,,Central Europe,Alps,G008325E46695N,RGI50-11.01186
412,CH,MAEHRENHORN-N,4997,,,,,,,46.695,8.30806,,,,,,,,Central Europe,Alps,G008307E46694N,
413,CH,OBRI GUMM,4998,,,,,,,46.6959,8.30154,,,,,,,,Central Europe,Alps,G008302E46696N,
414,CH,WYSSE SCHJIEN-W,4999,,,,,,,46.686001,8.31184,,,,,,,,Central Europe,Alps,G008313E46686N,
415,CH,GUMMICHAELEN,5000,,,,,,,46.6688,8.32332,,,,,,,,Central Europe,Alps,G008324E46669N,RGI50-11.01220
416,CH,HOMAD,5001,,,,,,,46.658798,8.33753,,,,,,,,Central Europe,Alps,G008337E46659N,
417,CH,DIECHTER-W (PART OF A54F/05),5002,,,,,,,46.649799,8.33607,,,,,,,,Central Europe,Alps,G008336E46649N,
418,CH,DIECHTER-S,5003,,,,,,,46.639702,8.35942,,,,,,,,Central Europe,Alps,G008360E46641N,RGI50-11.01255
419,CH,AELPLI,5004,,,,,,,46.6325,8.36582,,,,,,,,Central Europe,Alps,G008367E46634N,RGI50-11.01261
